Criterion;Evaluator;E1-A1;E1-A2;E1-A3;E1-A4;E1-A5;E1-A6;E1-A7;E1-A8;E1-A9;E1-A10;;;;;;;;;;;EV3-A1;EV3-A2;EV3-A3;EV3-A4;EV3-A5;EV3-A6;EV3-A7;EV3-A8;EV3-A9;EV3-A10
C7;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C8;E1;;B2;A2;D3;1;A2;A6;A2;A2;A3;;;;;;;;;;;;;;;;;;;;
C8;E1;;;B2;D3;1;B2;B6;B2;1;B2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;D3;E2;1;C6;1;C2;C2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;D3;D3;D6;D3;D4;D4;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;E2;E6;E2;E2;E2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;F6;1;F2;F3;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;H6;I6;L6;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;;H2;H3;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C8;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C9;E1;;B2;C2;D2;E2;F2;A2;H3;A3;A3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;B2;D2;B2;1;B3;H2;B2;B2;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;D2;1;F2;C3;H2;C4;C3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;D2;1;D3;H2;D4;D3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;F2;E3;H2;E3;E3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;F3;H2;F4;F3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;H4;G2;1;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;;H4;H3;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C9;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10;E1;;1;A3;1;1;A2;A3;H2;1;A4;;;;;;;;;;;;;;;;;;;;
C10;E1;;;B3;1;1;B2;B3;H2;1;B3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;D3;E2;F3;G2;H3;I2;C2;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;1;D2;D2;H2;1;D3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;E2;E2;H2;1;E3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;;F2;H2;I2;F3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;;;H3;I2;G2;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;;;;H2;H4;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;;;;;I3;;;;;;;;;;;;;;;;;;;;
C10;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C11;E1;;1;A2;1;E2;F2;A3;A2;A2;A3;;;;;;;;;;;;;;;;;;;;
C11;E1;;;B2;B2;1;F2;B3;B2;B2;B3;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;D2;E2;F3;C3;1;1;C3;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;;E2;F2;D4;D2;D2;D3;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;;;F2;E5;E2;E2;E3;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;;;;F5;F3;F3;F5;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;;;;;H3;I3;L2;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;;;;;;1;H3;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;;;;;;;I3;;;;;;;;;;;;;;;;;;;;
C11;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1;E2;;1;A4;1;1;1;1;1;1;A2;;;;;;;;;;;;;;;;;;;;
C1;E2;;;B2;D2;1;1;B3;1;I2;B3;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;D4;E4;F3;G3;H3;I3;L2;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;;D2;1;D3;D2;1;D3;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;;;1;E2;1;I2;E2;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;;;;F2;1;I2;F2;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;;;;;H2;I3;G2;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;;;;;;I2;H3;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;;;;;;;I3;;;;;;;;;;;;;;;;;;;;
C1;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2;E2;;A3;A5;A3;A2;A2;A3;A2;A3;A3;;;;;;;;;;;;;;;;;;;;
C2;E2;;;B3;D3;E3;F2;B2;H3;I2;1;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;D4;E4;F3;G3;H4;I3;L2;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;;1;D2;D2;1;D2;D3;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;;;E2;E2;1;E2;E3;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;;;;1;H2;1;F2;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;;;;;H2;1;G2;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;;;;;;H2;H3;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C2;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C3;E2;;1;A2;1;E2;F2;1;1;1;A3;;;;;;;;;;;;;;;;;;;;
C3;E2;;;C2;1;1;F2;G2;B2;I2;B2;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;D4;1;F2;G2;C3;I2;1;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;;D2;F2;1;D3;1;D2;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;;;F2;G2;E3;I2;E2;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;;;;1;F2;1;F3;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;;;;;G2;1;G3;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;;;;;;1;H2;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;;;;;;;I2;;;;;;;;;;;;;;;;;;;;
C3;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C4;E2;;1;A3;A2;A2;1;1;A2;1;A3;;;;;;;;;;;;;;;;;;;;
C4;E2;;;C2;B2;1;F2;G2;B2;I3;B3;;;;;;;;;;;;;;;;;;;;
C4;E2;;;;D2;1;F2;G2;C3;I2;1;;;;;;;;;;;;;;;;;;;;
C4;E2;;;;;D2;1;1;D2;1;D3;;;;;;;;;;;;;;;;;;;;
C4;E2;;;;;;F2;G2;E3;I2;E3;;;;;;;;;;;;;;;;;;;;
C4;E2;;;;;;;1;F3;1;F3;;;;;;;;;;;;;;;;;;;;
C4;E2;;;;;;;;G3;1;G3;;;;;;;;;;;;;;;;;;;;
C4;E2;;;;;;;;;1;H2;;;;;;;;;;;;;;;;;;;;
C4;E2;;;;;;;;;;I3;;;;;;;;;;;;;;;;;;;;
C5;E2;;1;A3;1;A2;1;A2;1;A2;A2;;;;;;;;;;;;;;;;;;;;
C5;E2;;;B3;B2;E2;F2;1;H2;1;1;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;D3;E3;F3;G2;H3;I3;L3;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;;E3;F3;G3;D3;D3;D2;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;;;1;E3;E2;E2;E2;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;;;;F3;F2;F3;F2;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;;;;;H3;I2;L2;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;;;;;;H2;L2;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C5;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C6;E2;;1;A4;A2;1;1;A3;A2;A2;A3;;;;;;;;;;;;;;;;;;;;
C6;E2;;;B3;1;E3;F3;1;H2;1;1;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;D3;E4;F4;1;H3;I3;L3;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;;E2;F2;D3;D2;D3;D2;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;;;1;E3;E2;E3;E2;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;;;;F2;F2;F3;F2;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;;;;;H3;I2;L3;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;;;;;;H2;L2;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;;;;;;;L2;;;;;;;;;;;;;;;;;;;;
C6;E2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C7;E2;;A2;A4;A2;A2;A2;A3;A2;A2;A3;;;;;;;;;;;;;;;;;;;;
C7;E2;;;B3;1;E2;F2;B2;H2;1;1;;;;;;;;;;;;;;;;;;;;
C7;E2;;;;D4;E5;F4;1;H3;I3;L3;;;;;;;;;;;;;;;;;;;;
C7;E2;;;;;E2;F2;D2;D2;D3;1;;;;;;;;;;;;;;;;;;;;
C7;E2;;;;;;E2;E4;E3;E3;E2;;;;;;;;;;;;;;;;;;;;
C7;E2;;;;;;;F3;F2;F3;F2;;;;;;;;;;;;;;;;;;;;
C7;E2;;;;;;;;H3;I3;L3;;;;;;;;;;;;;;;;;;;;
C7;E2;;;;;;;;;H2;L2;;;;;;;;;;;;;;;;;;;;
C7;E2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
